ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,White Alone,0,Not Hispanic or Latino,2018,2018,21,"Cheshire County, NH",05000US33005,cheshire-county-nh,71856,0.942213131
0,White Alone,1,Hispanic or Latino,2018,2018,190,"Cheshire County, NH",05000US33005,cheshire-county-nh,799,0.010476902
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,90,"Cheshire County, NH",05000US33005,cheshire-county-nh,512,0.006713609
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,102,"Cheshire County, NH",05000US33005,cheshire-county-nh,75,0.000983439
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,74,"Cheshire County, NH",05000US33005,cheshire-county-nh,133,0.001743965
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,14,"Cheshire County, NH",05000US33005,cheshire-county-nh,11,0.000144238
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,195,"Cheshire County, NH",05000US33005,cheshire-county-nh,1054,0.013820595
3,Asian Alone,1,Hispanic or Latino,2018,2018,27,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,15,"Cheshire County, NH",05000US33005,cheshire-county-nh,9,0.000118013
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,27,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,15,"Cheshire County, NH",05000US33005,cheshire-county-nh,20,0.00026225
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,122,"Cheshire County, NH",05000US33005,cheshire-county-nh,191,0.002504491
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,223.5732542,"Cheshire County, NH",05000US33005,cheshire-county-nh,1325,0.017374087
6,Two or More Races,1,Hispanic or Latino,2018,2018,118.4314148,"Cheshire County, NH",05000US33005,cheshire-county-nh,278,0.00364528
0,White Alone,0,Not Hispanic or Latino,2017,2017,69,"Cheshire County, NH",05000US33005,cheshire-county-nh,71930,0.945091908
0,White Alone,1,Hispanic or Latino,2017,2017,148,"Cheshire County, NH",05000US33005,cheshire-county-nh,759,0.009972539
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,80,"Cheshire County, NH",05000US33005,cheshire-county-nh,506,0.00664836
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,91,"Cheshire County, NH",05000US33005,cheshire-county-nh,76,0.000998568
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,70,"Cheshire County, NH",05000US33005,cheshire-county-nh,125,0.001642381
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,16,"Cheshire County, NH",05000US33005,cheshire-county-nh,12,0.000157669
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,146,"Cheshire County, NH",05000US33005,cheshire-county-nh,970,0.012744879
3,Asian Alone,1,Hispanic or Latino,2017,2017,27,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,32,"Cheshire County, NH",05000US33005,cheshire-county-nh,25,0.000328476
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,27,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,67,"Cheshire County, NH",05000US33005,cheshire-county-nh,56,0.000735787
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,127,"Cheshire County, NH",05000US33005,cheshire-county-nh,210,0.002759201
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,206.1698329,"Cheshire County, NH",05000US33005,cheshire-county-nh,1195,0.015701165
6,Two or More Races,1,Hispanic or Latino,2017,2017,105.6030303,"Cheshire County, NH",05000US33005,cheshire-county-nh,245,0.003219067
0,White Alone,0,Not Hispanic or Latino,2016,2016,62,"Cheshire County, NH",05000US33005,cheshire-county-nh,72181,0.94576782
0,White Alone,1,Hispanic or Latino,2016,2016,140,"Cheshire County, NH",05000US33005,cheshire-county-nh,749,0.009813941
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,77,"Cheshire County, NH",05000US33005,cheshire-county-nh,526,0.006892034
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,8,"Cheshire County, NH",05000US33005,cheshire-county-nh,4,5.24109E-05
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,58,"Cheshire County, NH",05000US33005,cheshire-county-nh,137,0.001795073
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,126,"Cheshire County, NH",05000US33005,cheshire-county-nh,978,0.012814465
3,Asian Alone,1,Hispanic or Latino,2016,2016,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,38,"Cheshire County, NH",05000US33005,cheshire-county-nh,26,0.000340671
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,60,"Cheshire County, NH",05000US33005,cheshire-county-nh,57,0.000746855
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,152,"Cheshire County, NH",05000US33005,cheshire-county-nh,286,0.003747379
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,155.7947368,"Cheshire County, NH",05000US33005,cheshire-county-nh,1126,0.014753669
6,Two or More Races,1,Hispanic or Latino,2016,2016,125.2517465,"Cheshire County, NH",05000US33005,cheshire-county-nh,250,0.003275681
0,White Alone,0,Not Hispanic or Latino,2015,2015,46,"Cheshire County, NH",05000US33005,cheshire-county-nh,72378,0.946984169
0,White Alone,1,Hispanic or Latino,2015,2015,174,"Cheshire County, NH",05000US33005,cheshire-county-nh,756,0.009891404
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,111,"Cheshire County, NH",05000US33005,cheshire-county-nh,547,0.007156876
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,12,"Cheshire County, NH",05000US33005,cheshire-county-nh,11,0.000143923
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,65,"Cheshire County, NH",05000US33005,cheshire-county-nh,147,0.001923329
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,140,"Cheshire County, NH",05000US33005,cheshire-county-nh,898,0.011749313
3,Asian Alone,1,Hispanic or Latino,2015,2015,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,20,0.000261677
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,26,"Cheshire County, NH",05000US33005,cheshire-county-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,42,"Cheshire County, NH",05000US33005,cheshire-county-nh,36,0.000471019
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,149,"Cheshire County, NH",05000US33005,cheshire-county-nh,264,0.003454141
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,183.1747799,"Cheshire County, NH",05000US33005,cheshire-county-nh,1165,0.015242706
6,Two or More Races,1,Hispanic or Latino,2015,2015,137.53545,"Cheshire County, NH",05000US33005,cheshire-county-nh,208,0.002721444
0,White Alone,0,Not Hispanic or Latino,2014,2014,60,"Cheshire County, NH",05000US33005,cheshire-county-nh,72673,0.948783226
0,White Alone,1,Hispanic or Latino,2014,2014,145,"Cheshire County, NH",05000US33005,cheshire-county-nh,635,0.00829025
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,107,"Cheshire County, NH",05000US33005,cheshire-county-nh,589,0.007689697
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,18,"Cheshire County, NH",05000US33005,cheshire-county-nh,12,0.000156666
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,74,"Cheshire County, NH",05000US33005,cheshire-county-nh,217,0.002833046
