ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,White Alone,0,Not Hispanic or Latino,2018,2018,313,"Keene, NH",16000US3339300,keene-nh,21004,0.906712713
0,White Alone,1,Hispanic or Latino,2018,2018,117,"Keene, NH",16000US3339300,keene-nh,324,0.013986618
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,85,"Keene, NH",16000US3339300,keene-nh,305,0.013166415
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,101,"Keene, NH",16000US3339300,keene-nh,72,0.003108137
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,25,"Keene, NH",16000US3339300,keene-nh,27,0.001165551
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,8,"Keene, NH",16000US3339300,keene-nh,4,0.000172674
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,241,"Keene, NH",16000US3339300,keene-nh,582,0.02512411
3,Asian Alone,1,Hispanic or Latino,2018,2018,21,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,21,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,21,"Keene, NH",16000US3339300,keene-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,21,"Keene, NH",16000US3339300,keene-nh,0,0
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,106,"Keene, NH",16000US3339300,keene-nh,100,0.004316857
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,181.4745161,"Keene, NH",16000US3339300,keene-nh,640,0.027627887
6,Two or More Races,1,Hispanic or Latino,2018,2018,76.21679605,"Keene, NH",16000US3339300,keene-nh,107,0.004619037
0,White Alone,0,Not Hispanic or Latino,2017,2017,318,"Keene, NH",16000US3339300,keene-nh,21170,0.9123427
0,White Alone,1,Hispanic or Latino,2017,2017,105,"Keene, NH",16000US3339300,keene-nh,293,0.012627133
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,77,"Keene, NH",16000US3339300,keene-nh,316,0.013618342
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,90,"Keene, NH",16000US3339300,keene-nh,72,0.003102913
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,22,"Keene, NH",16000US3339300,keene-nh,25,0.0010774
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,11,"Keene, NH",16000US3339300,keene-nh,6,0.000258576
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,162,"Keene, NH",16000US3339300,keene-nh,410,0.017669367
3,Asian Alone,1,Hispanic or Latino,2017,2017,21,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,21,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,21,"Keene, NH",16000US3339300,keene-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,65,"Keene, NH",16000US3339300,keene-nh,44,0.001896225
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,96,"Keene, NH",16000US3339300,keene-nh,82,0.003533873
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,198.5673689,"Keene, NH",16000US3339300,keene-nh,657,0.028314084
6,Two or More Races,1,Hispanic or Latino,2017,2017,86.31338251,"Keene, NH",16000US3339300,keene-nh,129,0.005559386
0,White Alone,0,Not Hispanic or Latino,2016,2016,241,"Keene, NH",16000US3339300,keene-nh,21565,0.91621702
0,White Alone,1,Hispanic or Latino,2016,2016,78,"Keene, NH",16000US3339300,keene-nh,255,0.010834006
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,80,"Keene, NH",16000US3339300,keene-nh,247,0.010494116
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,8,"Keene, NH",16000US3339300,keene-nh,4,0.000169945
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,31,"Keene, NH",16000US3339300,keene-nh,33,0.001402048
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,20,"Keene, NH",16000US3339300,keene-nh,0,0
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,165,"Keene, NH",16000US3339300,keene-nh,495,0.021030718
3,Asian Alone,1,Hispanic or Latino,2016,2016,20,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,20,"Keene, NH",16000US3339300,keene-nh,0,0
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,20,"Keene, NH",16000US3339300,keene-nh,0,0
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,59,"Keene, NH",16000US3339300,keene-nh,38,0.001614479
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,123,"Keene, NH",16000US3339300,keene-nh,122,0.005183328
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,145.4372717,"Keene, NH",16000US3339300,keene-nh,605,0.02570421
6,Two or More Races,1,Hispanic or Latino,2016,2016,118.0042372,"Keene, NH",16000US3339300,keene-nh,173,0.00735013
0,White Alone,0,Not Hispanic or Latino,2015,2015,301,"Keene, NH",16000US3339300,keene-nh,21658,0.92543691
0,White Alone,1,Hispanic or Latino,2015,2015,81,"Keene, NH",16000US3339300,keene-nh,229,0.00978507
